feature,permutation_train,permutation_test,gini
W1,-0.010241177152839676,0.008607520699219329,0.06408691669348926
W1_err,-0.018008490821452283,0.0015204115593827616,0.03480620371286032
g_cmodel_mag,-0.01915352378881907,0.0002398658183373481,0.0029982630760570336
r_cmodel_mag,-0.019912141703714692,0.00011100584027667892,0.0020315907670204014
i_cmodel_mag,-0.017814360791462147,0.0015892411918855265,0.008916894302493933
z_cmodel_mag,-0.018671105138253763,0.0009076940449868065,0.019285254755814638
y_cmodel_mag,-0.018360354693009784,0.0006944533554643639,0.017407573827914913
g_cmodel_magsigma,-0.02039276217784436,0.0002142107464969678,0.0021400917858229247
r_cmodel_magsigma,-0.020508377569041225,0.00018337141159241455,0.0018589259005385432
i_cmodel_magsigma,-0.020738332208028676,6.61367149737968e-05,0.002075776526008091
z_cmodel_magsigma,-0.018575593769222354,0.001063032375371531,0.010685901651685351
y_cmodel_magsigma,-0.0200871152983626,0.0004729799687315239,0.0064588179859901024
g_cmodel_fracdev,-0.018305947978471404,0.001977133371181883,0.0035876955347748304
r_cmodel_fracdev,-0.01940963171371002,0.0011762293268311463,0.00435792260107953
i_cmodel_fracdev,-0.013682032058378812,0.00377685615378498,0.055319861597204215
z_cmodel_fracdev,-0.018913008828779332,0.0006450356151095349,0.00914612691638182
y_cmodel_fracdev,-0.020120683348910706,0.00018870716032171053,0.0024576962194650088
g_kronflux_mag,-0.020118592470548702,0.00027009840227476545,0.002945736722503016
r_kronflux_mag,-0.021481409697134968,0.00014655156563891936,0.0018548944879470137
i_kronflux_mag,-0.019700124087546067,0.001001386436732199,0.006693486650424812
z_kronflux_mag,-0.01898256867243553,0.0010983116624108114,0.012778745421697258
y_kronflux_mag,-0.019576818847087285,0.0007209523072595481,0.009644883338572479
g_kronflux_magsigma,-0.01995187159733769,0.0002465142389249664,0.002131850478236657
r_kronflux_magsigma,-0.020161980277233926,0.00025691420179718705,0.002500051145561815
i_kronflux_magsigma,-0.020230900871782476,0.00012879876749949393,0.002324994689178869
z_kronflux_magsigma,-0.02047934498536086,0.0011372343571316446,0.009838927313451302
y_kronflux_magsigma,-0.021020010607055162,0.0005735811532959767,0.005007990740431458
i_kronflux_radius,-0.018636156579630803,0.0009970952349076523,0.0029262433407922506
r_sdssshape_shape11,-0.018861159833745367,0.0005426575997584671,0.002654314269137112
i_sdssshape_shape11,-0.019707991040933348,0.00020331178683585804,0.002156694182124897
z_sdssshape_shape11,-0.019359788954455892,0.00011139961044026592,0.0015710506966949219
y_sdssshape_shape11,-0.020307150627233872,0.00025966502227880994,0.0017209767460053486
r_sdssshape_shape12,-0.02068787968618846,4.588138859329405e-05,0.001381841166706023
i_sdssshape_shape12,-0.020026540984063756,6.845239286656923e-05,0.001267079810874691
z_sdssshape_shape12,-0.020887768278641583,5.376757670827459e-05,0.0012297191373280276
y_sdssshape_shape12,-0.020167134660918018,3.065870602991794e-05,0.001242822717285637
r_sdssshape_shape22,-0.02008056405182934,0.0007455904015380987,0.0027004998086064117
i_sdssshape_shape22,-0.020040852747608584,0.0002069147015407724,0.001995331965841847
z_sdssshape_shape22,-0.01879724795128368,0.00021634678517323813,0.0016204536196061552
y_sdssshape_shape22,-0.02057711439279264,0.00019639870363241663,0.0018449101303615208
r_sdssshape_shape11sigma,-0.019610784204274978,0.0006259403999085977,0.0022507899879246006
i_sdssshape_shape11sigma,-0.020402761363939037,0.0001838604769894836,0.0016082766158716125
z_sdssshape_shape11sigma,-0.020451490175034004,0.00022044226459816407,0.0028599490696456444
y_sdssshape_shape11sigma,-0.020049275093469987,0.0004015424530461331,0.002925683317192071
r_sdssshape_shape12sigma,-0.020685004756424763,0.00045214612962762857,0.0020108405555675085
i_sdssshape_shape12sigma,-0.021309776750805365,0.00012080096753042113,0.0016863423812437854
z_sdssshape_shape12sigma,-0.020697188207344897,0.00016994086846655598,0.004087665845724754
y_sdssshape_shape12sigma,-0.01996508363435534,0.0002877324556079808,0.0036097263348304313
r_sdssshape_shape22sigma,-0.01836315826705548,0.0016747967552905862,0.0034270974734618882
i_sdssshape_shape22sigma,-0.020207183997713152,0.0005731104735400283,0.003123451109441679
z_sdssshape_shape22sigma,-0.018386990178854812,0.001191226771640519,0.01496960842156032
y_sdssshape_shape22sigma,-0.018185288093830243,0.0012103396711065084,0.017841911183568586
gr,0.08271855185285165,0.08947306599098803,0.3316918494944695
ri,0.0028128907358804245,0.017267034765519385,0.14540988634200402
iz,-0.013398012156145445,0.0054163611576832915,0.018582721244075867
zy,-0.018371766671208656,0.001093147244675241,0.003590837012483287
W1g,-0.018563033224217484,0.001116867440643432,0.020798511069947446
W1r,-0.017556230148316088,0.0021776916573026384,0.011709808297565516
W1i,-0.018921796605189334,0.0013508238189932076,0.007486259659137085
W1z,-0.018674872985047664,0.0010783012150790139,0.006631584610211883
W1y,-0.019737591320525105,0.0018032690313343203,0.009606183223034186
g_cmodel_mag_abs,-0.018372125348593893,0.0016615913421211825,0.010294382349041314
r_cmodel_mag_abs,-0.019809211310463093,0.0006359786608889362,0.007723363901170727
i_cmodel_mag_abs,-0.019398246055697288,0.0004115446065867667,0.009429184541525516
z_cmodel_mag_abs,-0.01959986830079319,0.00048731740233098897,0.013956296788583632
y_cmodel_mag_abs,-0.020507820151263734,0.00040884391388085195,0.015032776736746713
