Features,mass_min,mass_max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold,Precision (Ret),Recall (Ret),Specificity (Ret),Accuracy (Ret),F1-score (Ret),PR AUC (Ret),ROC AUC (Ret),Threshold (Ret)
all_features,none,none,0.4725,0.7444,0.6028,0.6486,0.5781,0.5443,0.7378,0.4648,0.4725,0.7444,0.6028,0.6486,0.5781,0.5443,0.7378,0.4648
all_features,none,10.1310,0.4021,0.5347,0.8097,0.7566,0.4590,0.4280,0.7701,0.4190,0.3889,0.5561,0.7908,0.7455,0.4577,0.4256,0.7680,0.5727
all_features,10.1310,10.8410,0.4377,0.7440,0.5451,0.6093,0.5512,0.5037,0.7050,0.4510,0.4526,0.7104,0.5911,0.6296,0.5529,0.5077,0.7070,0.4695
all_features,10.8410,none,0.5196,0.8916,0.3050,0.5733,0.6566,0.6171,0.6780,0.4928,0.5325,0.8577,0.3651,0.5904,0.6571,0.6240,0.6814,0.3909
all_features_bcg,none,none,0.8986,0.9298,0.9499,0.9434,0.9140,0.9714,0.9875,0.6626,0.8986,0.9298,0.9499,0.9434,0.9140,0.9714,0.9875,0.6626
all_features_bcg,none,10.1310,0.8138,0.8714,0.9523,0.9367,0.8416,0.9222,0.9807,0.6180,0.8298,0.8730,0.9571,0.9409,0.8509,0.9272,0.9826,0.7603
all_features_bcg,10.1310,10.8410,0.8947,0.9290,0.9480,0.9419,0.9116,0.9705,0.9869,0.6579,0.8840,0.9442,0.9410,0.9420,0.9131,0.9716,0.9874,0.6220
all_features_bcg,10.8410,none,0.9269,0.9722,0.9354,0.9522,0.9491,0.9847,0.9898,0.6215,0.9222,0.9807,0.9302,0.9533,0.9506,0.9860,0.9904,0.4014
all_features_sigmas,none,none,0.7798,0.8405,0.8865,0.8717,0.8090,0.8838,0.9419,0.5815,0.7798,0.8405,0.8865,0.8717,0.8090,0.8838,0.9419,0.5815
all_features_sigmas,none,10.1310,0.7249,0.7592,0.9310,0.8978,0.7416,0.8130,0.9452,0.5896,0.7010,0.7900,0.9193,0.8944,0.7429,0.8143,0.9456,0.6888
all_features_sigmas,10.1310,10.8410,0.7515,0.8597,0.8647,0.8631,0.8020,0.8791,0.9388,0.5254,0.7452,0.8680,0.8587,0.8617,0.8019,0.8792,0.9389,0.5182
all_features_sigmas,10.8410,none,0.8136,0.8917,0.8278,0.8570,0.8509,0.9136,0.9318,0.5818,0.8259,0.8798,0.8436,0.8602,0.8520,0.9135,0.9317,0.4843
