Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,0,1,0.1463,0.1417,0.9774,0.9552,0.144,0.069,0.7166,0.7257
all_features,1,2,0.1324,0.4714,0.7672,0.7465,0.2067,0.1309,0.6677,0.5439
all_features,2,5,0.3187,0.7525,0.4684,0.539,0.4477,0.3688,0.6591,0.4275
all_features,5,10,0.7212,0.9746,0.2471,0.732,0.829,0.7873,0.6917,0.2652
all_features,10,20,0.9123,0.9929,0.4155,0.9118,0.9509,0.9436,0.8001,0.2103
all_features,20,50,0.9474,0.9953,0.562,0.9468,0.9708,0.9786,0.8963,0.2213
all_features,50,100,0.9753,1,0.8095,0.9777,0.9875,0.9976,0.9828,0.3275
all_features_bcg,0,1,0.8,0.6929,0.9953,0.9872,0.7426,0.7972,0.992,0.8673
all_features_bcg,1,2,0.7727,0.7962,0.9824,0.9693,0.7843,0.8698,0.9879,0.8088
all_features_bcg,2,5,0.8635,0.8926,0.9534,0.9383,0.8778,0.9501,0.9836,0.7178
all_features_bcg,5,10,0.9234,0.9692,0.8394,0.9259,0.9458,0.9819,0.9716,0.4804
all_features_bcg,10,20,0.9613,0.9919,0.7554,0.9587,0.9763,0.9926,0.969,0.2509
all_features_bcg,20,50,0.9666,0.9958,0.7273,0.9658,0.981,0.9959,0.9769,0.1857
all_features_bcg,50,100,0.9936,0.9873,0.9524,0.9832,0.9905,0.9996,0.9967,0.3862
all_features_sigmas,0,1,0.5219,0.5525,0.9487,0.9123,0.5368,0.5473,0.8813,0.3948
all_features_sigmas,1,2,0.5877,0.695,0.8867,0.8505,0.6369,0.6842,0.8903,0.4653
all_features_sigmas,2,5,0.6977,0.8482,0.7455,0.7875,0.7656,0.8218,0.8785,0.5538
all_features_sigmas,5,10,0.847,0.9786,0.4965,0.8533,0.9081,0.9352,0.8667,0.5758
all_features_sigmas,10,20,0.9379,0.9936,0.629,0.9387,0.965,0.9778,0.9182,0.5418
all_features_sigmas,20,50,0.9573,0.9882,0.7248,0.9518,0.9725,0.9914,0.9591,0.5973
all_features_sigmas,50,100,0.988,1,0.9286,0.9896,0.9939,0.9991,0.9948,0.8143
