feature,permutation_test,permutation_train
W1,0.010519177112390588,0.006084931440880625
W1_err,0.004085848130770953,-0.002031340274054272
g_cmodel_mag,0.011338890014752523,0.007102982820410775
r_cmodel_mag,0.007568056682861868,0.0018655406848548939
i_cmodel_mag,0.012382292716424437,0.007704583390801156
z_cmodel_mag,0.011296626990877967,0.0071521998736004955
y_cmodel_mag,0.008320644083248507,0.0014226970601246558
g_cmodel_magsigma,0.003925298845956937,-0.0011327103095425395
r_cmodel_magsigma,0.0015585622446162573,-0.004168344380766298
i_cmodel_magsigma,0.0011092434416416497,-0.004118854397878402
z_cmodel_magsigma,0.0014970045830209333,-0.004894355417279117
y_cmodel_magsigma,0.0010616078023908404,-0.0037741435513706234
g_cmodel_fracdev,0.013051638836330315,0.009132901854427167
r_cmodel_fracdev,0.008366443758708653,0.005781773682575708
i_cmodel_fracdev,0.007431265961946765,0.002269753911928296
z_cmodel_fracdev,0.003029847861994339,-0.00411941172388286
y_cmodel_fracdev,0.004247678131548471,-0.0012569656415376551
g_kronflux_mag,0.017025331216093176,0.01285443969083866
r_kronflux_mag,0.004221756724870573,-5.383934266789403e-05
i_kronflux_mag,0.0037457295128252577,-0.003603548855626748
z_kronflux_mag,0.01396166429136847,0.008336112968227893
y_kronflux_mag,0.016601549227957313,0.01092775452314998
g_kronflux_magsigma,0.0024275918806782038,-0.001200183143803324
r_kronflux_magsigma,0.002349630550726456,-0.0033211379645272654
i_kronflux_magsigma,0.0016769586105821466,-0.0033619794316814833
z_kronflux_magsigma,0.0011373249812878239,-0.004607101131841929
y_kronflux_magsigma,0.0011035489125464926,-0.005827542866262525
i_kronflux_radius,0.00761590663164291,7.161305071490265e-05
r_sdssshape_shape11,0.0022730447287980793,-0.0041330077941902355
i_sdssshape_shape11,0.0015314616594203079,-0.0036065144571846286
z_sdssshape_shape11,0.0016687605895349122,-0.0037322196098549254
y_sdssshape_shape11,0.0029863440774161587,-0.0038089129636226238
r_sdssshape_shape12,0.0015815666549846563,-0.005389115264829547
i_sdssshape_shape12,0.0018133729978794255,-0.005106566515475697
z_sdssshape_shape12,0.0014872523934273962,-0.004380499565313722
y_sdssshape_shape12,0.0015932050258287145,-0.004209155101792428
r_sdssshape_shape22,0.0027921941447273113,-0.002807629272391754
i_sdssshape_shape22,0.0021004255184325915,-0.0033765178064929513
z_sdssshape_shape22,0.0018667148482088836,-0.003320960063860623
y_sdssshape_shape22,0.0021031557652639865,-0.0038161675640406845
r_sdssshape_shape11sigma,0.0010104916853784784,-0.005807325029362542
i_sdssshape_shape11sigma,0.0017913559899599418,-0.004083923934149691
z_sdssshape_shape11sigma,0.0020498190131876814,-0.003749158794503882
y_sdssshape_shape11sigma,0.002378334451149766,-0.0036542848504318437
r_sdssshape_shape12sigma,0.0022016450407813526,-0.00114811004908133
i_sdssshape_shape12sigma,0.0012882502435019871,-0.0053476462768944355
z_sdssshape_shape12sigma,0.0015846647127394364,-0.004634910078359811
y_sdssshape_shape12sigma,0.0017453783284090418,-0.004690620265190959
r_sdssshape_shape22sigma,0.0014435378403651056,-0.0038856146724751683
i_sdssshape_shape22sigma,0.001645795343947709,-0.005954986970655551
z_sdssshape_shape22sigma,0.0010798891261997179,-0.0046000019812456605
y_sdssshape_shape22sigma,0.002030009603572691,-0.004221910790154326
gr,0.0777717899051924,0.07558723561947239
ri,0.026927612550967095,0.023759751767934434
iz,0.022436955587787244,0.01718286311010686
zy,0.006055900294241412,-0.0006649647284381333
W1g,0.00666706243344628,0.0016920847201822298
W1r,0.004616642305760199,-0.0015313697649571578
W1i,0.004369130968141288,-0.0018549649698663684
W1z,0.006181992549120774,0.0005979999034370076
W1y,0.007842923164747329,0.0027673515633515056
