feature,permutation_train,permutation_test
W1,0.008218649688398916,0.01852305461814585
W1_err,0.002655376083216865,0.009731891702819517
g_cmodel_mag,-0.001341028204154382,0.0042612901840644035
r_cmodel_mag,0.0038759258539560193,0.009759045156262136
i_cmodel_mag,-0.0026928182749801355,0.0038422007650573686
z_cmodel_mag,-0.0007668398738661653,0.0046493241685250375
y_cmodel_mag,0.0007166073649028659,0.008847250973461618
g_cmodel_magsigma,-0.004290196592936835,0.002167405060851557
r_cmodel_magsigma,-0.004463800924022321,0.0014398259644230471
i_cmodel_magsigma,-0.005457471218781151,0.0006003875171256556
z_cmodel_magsigma,-0.005685434205306761,0.00061510329269443
y_cmodel_magsigma,-0.005671413621358923,0.0006547072576343904
g_cmodel_fracdev,-0.0056935440292140704,0.0013427276199504679
r_cmodel_fracdev,-0.005505469357196202,0.0010555740576703165
i_cmodel_fracdev,-0.005185332973876133,0.0012188890224380522
z_cmodel_fracdev,-0.005473559802011696,0.00020924939130828601
y_cmodel_fracdev,-0.005620959498882971,0.0006747061695924206
g_kronflux_mag,0.0017366974988846096,0.008333413786880128
r_kronflux_mag,0.0014079550472242408,0.007977370346363255
i_kronflux_mag,-0.004692914788785751,0.0014241257720188916
z_kronflux_mag,0.0005304440379600983,0.006225635785583439
y_kronflux_mag,-0.003881518021534025,0.0017282520039952898
g_kronflux_magsigma,-0.004968317726084859,0.001040998609444399
r_kronflux_magsigma,-0.005585103388751289,0.001029320531721889
i_kronflux_magsigma,-0.00509971319659841,0.0016290287985175622
z_kronflux_magsigma,-0.005452509789835913,0.0008541274877928995
y_kronflux_magsigma,-0.005814922282212809,0.0006319463316428742
i_kronflux_radius,0.0008611048399229659,0.008717909820329828
r_sdssshape_shape11,-0.004458975091124362,0.00043017208824913666
i_sdssshape_shape11,-0.0038707183086408303,0.0012937848851350964
z_sdssshape_shape11,-0.0036543027759182722,0.0011541001838021314
y_sdssshape_shape11,-0.004708199294933824,0.0008831094810725082
r_sdssshape_shape12,-0.004885339066015071,0.0006934389592914147
i_sdssshape_shape12,-0.004527696532926062,0.0014227171189447052
z_sdssshape_shape12,-0.0031273798297749567,0.001711228677997223
y_sdssshape_shape12,-0.004596485154285457,0.0009279181936618919
r_sdssshape_shape22,-0.004460215466134287,0.0016145407973211512
i_sdssshape_shape22,-0.0044100499582258035,0.000745406899084311
z_sdssshape_shape22,-0.003939067761096426,0.0018537826179314543
y_sdssshape_shape22,-0.004331480953658096,0.0007995083930683045
r_sdssshape_shape11sigma,-0.005878718654024118,0.00036110672545919265
i_sdssshape_shape11sigma,-0.005786794399714745,0.0006471518569128865
z_sdssshape_shape11sigma,-0.005043201323807089,0.0015949358909264078
y_sdssshape_shape11sigma,-0.005733687584776881,0.00032798672760270264
r_sdssshape_shape12sigma,-0.005466419108271503,0.0013354880597069574
i_sdssshape_shape12sigma,-0.006025519365384646,0.0002626993457343074
z_sdssshape_shape12sigma,-0.005316616273947639,0.0012480429739525345
y_sdssshape_shape12sigma,-0.005874371932288458,0.0005066870705436877
r_sdssshape_shape22sigma,-0.005652346855435142,0.0009478957393411758
i_sdssshape_shape22sigma,-0.005064335554894606,0.0004504996559678842
z_sdssshape_shape22sigma,-0.005152767840817196,0.0011366778592146742
y_sdssshape_shape22sigma,-0.005121770431783301,0.0013186742015365294
gr,0.01658838763648096,0.024558385577211794
ri,0.016543908829470544,0.02357809889789264
iz,-0.0017157068050979163,0.003943519093640102
zy,-0.005225151217588708,0.0015397103938762369
W1g,0.007000342919657898,0.015458619094002923
W1r,0.0065611733786206106,0.014457192441264866
W1i,-0.0015798217125218006,0.0048902568699698
W1z,-0.003213172310864598,0.002346081422291757
W1y,0.000938662661920997,0.006992259768554443
sigma_5,-0.0055832889343531145,0.0009845315241266972
sigma_3,-0.005804332495130904,0.0009477126359537236
sigma_7,-0.004393771693170234,0.0019442861044643989
sigma_10,0.010796751656607984,0.0156327344123669
sigma_3_1000,-0.005607285009274099,5.4816266280788284e-05
sigma_5_1000,-0.004575825011632784,0.0015757186071601037
sigma_7_1000,-0.0035709108049558624,0.0016644258111504495
sigma_10_1000,-0.003022715062899195,0.0019510328875903538
sigma_3_3000,-0.004977928461374903,0.0005510308994918223
sigma_5_3000,-0.0033439730650655086,0.0018197789111047413
sigma_7_3000,-0.004826359461415852,0.0007491828562726788
sigma_10_3000,0.0012749569473813338,0.006182776991073946
sigma_3_5000,-0.003595067109176786,0.0018362862102068167
sigma_5_5000,-0.001842829272292179,0.0032180895200741855
sigma_7_5000,-0.002423780388267849,0.0034589428448286164
sigma_10_5000,0.06372263727206373,0.07230261343731059
sigma_3_10000,-0.004649843198462844,0.0011335758813431074
sigma_5_10000,-0.0034419760143502565,0.0019231016848743065
sigma_7_10000,0.04454367342237908,0.05172624760753952
