Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold,Precision (Ret),Recall (Ret),Specificity (Ret),Accuracy (Ret),F1-score (Ret),PR AUC (Ret),ROC AUC (Ret),Threshold (Ret)
all_features,none,none,0.4688,0.7573,0.5898,0.6440,0.5791,0.5466,0.7390,0.4618,0.4688,0.7573,0.5898,0.6440,0.5791,0.5466,0.7390,0.4618
all_features,none,-22.9218,0.5128,0.7895,0.5738,0.6519,0.6217,0.6060,0.7520,0.4913,0.4965,0.8340,0.5195,0.6335,0.6225,0.6106,0.7536,0.4240
all_features,-22.9218,-21.3454,0.4530,0.7571,0.5255,0.6046,0.5668,0.5183,0.6985,0.4581,0.4517,0.7640,0.5187,0.6025,0.5678,0.5222,0.7008,0.4358
all_features,-21.3454,none,0.4683,0.6667,0.7498,0.7292,0.5502,0.5100,0.7891,0.4648,0.4582,0.6868,0.7315,0.7204,0.5497,0.5100,0.7884,0.5150
all_features_bcg,none,none,0.8948,0.9346,0.9475,0.9433,0.9143,0.9716,0.9876,0.6576,0.8948,0.9346,0.9475,0.9433,0.9143,0.9716,0.9876,0.6576
all_features_bcg,none,-22.9218,0.9239,0.9701,0.9546,0.9602,0.9464,0.9829,0.9924,0.6343,0.9296,0.9780,0.9579,0.9652,0.9532,0.9853,0.9934,0.5740
all_features_bcg,-22.9218,-21.3454,0.9049,0.9377,0.9489,0.9450,0.9210,0.9754,0.9882,0.6627,0.9047,0.9564,0.9477,0.9507,0.9298,0.9797,0.9905,0.6190
all_features_bcg,-21.3454,none,0.8249,0.8794,0.9383,0.9237,0.8513,0.9292,0.9769,0.6527,0.8413,0.9012,0.9438,0.9332,0.8702,0.9431,0.9822,0.7369
all_features_sigmas,none,none,0.7822,0.8369,0.8886,0.8719,0.8086,0.8822,0.9413,0.5946,0.7822,0.8369,0.8886,0.8719,0.8086,0.8822,0.9413,0.5946
all_features_sigmas,none,-22.9218,0.8027,0.8659,0.8790,0.8743,0.8331,0.9000,0.9436,0.5809,0.7949,0.8755,0.8717,0.8731,0.8333,0.9006,0.9439,0.5313
all_features_sigmas,-22.9218,-21.3454,0.7782,0.8388,0.8759,0.8632,0.8074,0.8819,0.9356,0.5946,0.7724,0.8458,0.8707,0.8622,0.8075,0.8825,0.9361,0.5625
all_features_sigmas,-21.3454,none,0.7578,0.8000,0.9155,0.8868,0.7783,0.8550,0.9475,0.5946,0.7240,0.8420,0.8939,0.8810,0.7786,0.8560,0.9481,0.6111
